addon_key,addon_name,category,repo_count,best_repo_stars,freshness_max,opportunity_score,repos,description_source,description_confidence
balloon,Balloon,utility,1,19,1354,10.0,StarlitGhost/Balloon,,low
barfiller,Barfiller,ui_gear,1,17,3528,3.43,mverteuil/windower4-addons,https://github.com/mverteuil/windower4-addons/blob/HEAD/barfiller/barfiller.lua,high
bars,Bars,ui_gear,1,22,3,4.83,iLVL-Key/FFXI,https://github.com/iLVL-Key/FFXI/blob/HEAD/addons/Bars/Bars.lua,high
battlemod,Battlemod,general_qol,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/battlemod/generic_helpers.lua,high
battleplan,Battleplan,automation,1,22,3,4.83,iLVL-Key/FFXI,https://github.com/iLVL-Key/FFXI/blob/HEAD/addons/BattlePlan/BattlePlan.lua,high
blist,Blist,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
bluguide,Bluguide,travel_navigation,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,https://github.com/Lygre/addons/blob/HEAD/bluguide/masterlist.lua,high
bluspells,Bluspells,general_qol,1,29,46,4.83,mousseng/xitools,https://github.com/mousseng/xitools/blob/HEAD/addons/bluspells/bluspells-state.lua,high
boxdestroyer,Boxdestroyer,general_qol,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,heuristic,low
broseem,Broseem,general_qol,1,18,3350,3.43,Lygre/addons,heuristic,low
bursting,Bursting,general_qol,1,14,1177,3.78,ValokAsura/WindowerAddons,https://github.com/ValokAsura/WindowerAddons/blob/HEAD/README.md,medium
callouts,Callouts,general_qol,1,22,3,4.83,iLVL-Key/FFXI,https://github.com/iLVL-Key/FFXI/blob/HEAD/addons/Callouts/Callouts.lua,high
cancel,Cancel,general_qol,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/cancel/cancel.lua,high
canteen,Canteen,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/Canteen/README.md,medium
capetrader,Capetrader,economy_inventory,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/capetrader/allAugPaths.lua,high
charmed,Charmed,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/charmed/README.md,medium
chars,Chars,general_qol,1,17,3528,3.43,mverteuil/windower4-addons,https://github.com/mverteuil/windower4-addons/blob/HEAD/chars/README.md,medium
chatfix,Chatfix,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/chatfix/README.md,medium
chatlink,Chatlink,general_qol,1,17,3528,3.43,mverteuil/windower4-addons,https://github.com/mverteuil/windower4-addons/blob/HEAD/ChatLink/ChatLink.lua,high
chatman,Chatman,general_qol,2,79,957,2.66,Icydeath/ffxi-addons; Ivaar/Windower-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/ChatMan/README.md,medium
chatty,Chatty,general_qol,1,29,46,4.83,mousseng/xitools,https://github.com/mousseng/xitools/blob/HEAD/addons/chatty/chatty-config.lua,high
checkparam,Checkparam,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/checkparam/README.md,medium
chococard,Chococard,general_qol,1,79,957,3.78,Ivaar/Windower-addons,https://github.com/Ivaar/Windower-addons/blob/HEAD/README.md,medium
clevel,Clevel,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/README.md,medium
clickfind,Clickfind,general_qol,2,69,51,3.71,Icydeath/ffxi-addons; lili-ffxi/FFXI-Addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/clickfind/clickfind.lua,high
