addon_key,addon_name,category,repo_count,best_repo_stars,freshness_max,opportunity_score,repos,description_source,description_confidence
masstrade,Masstrade,economy_inventory,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/MassTrade/README.md,medium
memscope,Memscope,diagnostics,1,2,49,4.83,SQLCommit/MemScope,https://github.com/SQLCommit/MemScope/blob/HEAD/README.md,medium
menufix,Menufix,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/menufix/README.md,medium
menus,Menus,automation,1,99,1263,3.78,ProjectTako/ffxi-addons,https://github.com/ProjectTako/ffxi-addons/blob/HEAD/menus/ashita/menus.lua,high
minimap-helper,Minimap Helper,automation,1,29,46,4.83,mousseng/xitools,https://github.com/mousseng/xitools/blob/HEAD/addons/minimap-helper/minimap-helper.lua,high
minimaphelper,minimap-helper,general_qol,1,29,46,4.0,mousseng/xitools,https://github.com/mousseng/xitools/blob/HEAD/addons/minimap-helper/minimap-helper.lua,high
mobdb,Mobdb,utility,1,24,43,7.64,ThornyFFXI/mobdb,https://github.com/ThornyFFXI/mobdb/blob/HEAD/readme.md,medium
moblevel,MobLevel,ui_gear,1,3,1333,4.0,DiscipleOfEris/MobLevel,https://github.com/DiscipleOfEris/MobLevel/blob/HEAD/README.md,medium
mogchat,Mogchat,general_qol,1,0,3,4.2,glitchv0/mogchat,https://github.com/glitchv0/mogchat/blob/HEAD/README.md,medium
mogmover,MogMover,economy_inventory,1,0,39,4.0,djlabbe/MogMover,https://github.com/djlabbe/MogMover/blob/HEAD/README.md,medium
mousehalo,Mousehalo,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/README.md,medium
moveitems,Moveitems,economy_inventory,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
myhome,Myhome,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/MyHome/README.md,medium
myomen,Myomen,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
nnitimer,Nnitimer,diagnostics,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/NniTimer/NniTimer.lua,high
noknock,Noknock,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
nostrum,Nostrum,general_qol,1,17,3528,3.43,mverteuil/windower4-addons,https://github.com/mverteuil/windower4-addons/blob/HEAD/Nostrum/Nostrum.lua,high
npcinteract,NpcInteract,automation,1,7,1575,4.0,DiscipleOfEris/NpcInteract,https://github.com/DiscipleOfEris/NpcInteract,medium
nukes,Nukes,general_qol,1,0,61,4.0,tupsimati/nukes,https://github.com/tupsimati/nukes,low
ohnoyoudont,Ohnoyoudont,general_qol,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,heuristic,low
ohshi,Ohshi,general_qol,1,17,3528,3.43,mverteuil/windower4-addons,https://github.com/mverteuil/windower4-addons/blob/HEAD/ohShi/default_settings.lua,high
omen,Omen,general_qol,2,69,46,3.71,Icydeath/ffxi-addons; mousseng/xitools,https://github.com/Icydeath/ffxi-addons/blob/HEAD/Omen/Omen.lua,high
ondemand,Ondemand,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/ondemand/ondemand.lua,high
oneoffs,Oneoffs,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
opensesame,Opensesame,general_qol,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,heuristic,low
organizer,Organizer,general_qol,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/organizer/items.lua,high
original_icons,Original Icons,utility,1,24,43,7.64,ThornyFFXI/mobdb,,low
packetviewer,Packetviewer,diagnostics,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,https://github.com/Lygre/addons/blob/HEAD/PacketViewer/PacketViewer.lua,high
packetviewerlogviewer,Packetviewerlogviewer,diagnostics,1,17,1073,3.78,ZeromusXYZ/PacketViewerLogViewer,https://github.com/ZeromusXYZ/PacketViewerLogViewer,medium
packrat,Packrat,general_qol,1,1,31,4.2,Mr-Sithel/packrat,https://github.com/Mr-Sithel/packrat/blob/HEAD/README.md,medium
parse,Parse,diagnostics,2,18,988,2.66,Lygre/addons; flippant/parse,https://github.com/Lygre/addons/blob/HEAD/parse/utility.lua,high
partybuffs,Partybuffs,automation,2,99,1263,2.66,Lygre/addons; ProjectTako/ffxi-addons,https://github.com/Lygre/addons/blob/HEAD/PartyBuffs/PartyBuffs.lua,high
partypets,Partypets,ui_gear,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
pet_fix,Pet Fix,general_qol,1,18,3350,3.43,Lygre/addons,https://github.com/Lygre/addons/blob/HEAD/pet_fix/pet_fix.lua,high
petfix,pet_fix,general_qol,1,18,3350,4.0,Lygre/addons,https://github.com/Lygre/addons/blob/HEAD/pet_fix/pet_fix.lua,high
petparty,Petparty,ui_gear,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/petparty/README.md,medium
pettp,Pettp,general_qol,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,heuristic,low
plasmon,Plasmon,general_qol,1,17,3528,3.43,mverteuil/windower4-addons,https://github.com/mverteuil/windower4-addons/blob/HEAD/plasmon/README.md,medium
plugin_manager,Plugin Manager,general_qol,1,18,3350,3.43,Lygre/addons,https://github.com/Lygre/addons/blob/HEAD/plugin_manager/plugin_manager.lua,high
pluginmanager,plugin_manager,general_qol,1,18,3350,4.0,Lygre/addons,https://github.com/Lygre/addons/blob/HEAD/plugin_manager/plugin_manager.lua,high
pointwatch,Pointwatch,general_qol,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/pointwatch/message_ids.lua,high
porter,Porter,economy_inventory,2,69,1490,2.31,Icydeath/ffxi-addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/porter/README.md,medium
porterpacker,Porterpacker,economy_inventory,2,79,957,2.66,Icydeath/ffxi-addons; Ivaar/Windower-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/PorterPacker/README.md,medium
portraits,Portraits,utility,1,19,1354,10.0,StarlitGhost/Balloon,,low
posfind,Posfind,general_qol,2,69,51,3.71,Icydeath/ffxi-addons; lili-ffxi/FFXI-Addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/posfind/posfind.lua,high
position_manager,Position Manager,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/position_manager/position_manager.lua,high
positionmanager,position_manager,general_qol,1,35,51,4.0,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/position_manager/position_manager.lua,high
positions,Positions,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/Positions/README.md,medium
pouches,Pouches,general_qol,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/Pouches/Pouches.lua,high
pricer,Pricer,general_qol,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,heuristic,low
privres,priv_res,general_qol,2,18,1141,4.0,Akirane/XIVHotbar; Technyze/XIVHotbar2,https://github.com/Akirane/XIVHotbar/blob/HEAD/priv_res/database.lua,high
properties,Properties,general_qol,1,17,1073,4.0,ZeromusXYZ/PacketViewerLogViewer,https://github.com/ZeromusXYZ/PacketViewerLogViewer,medium
questlog,Questlog,general_qol,1,79,957,3.78,Ivaar/Windower-addons,https://github.com/Ivaar/Windower-addons/blob/HEAD/QuestLog/README.md,medium
quicktrade,Quicktrade,ui_gear,2,69,1177,2.66,Icydeath/ffxi-addons; ValokAsura/WindowerAddons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/QuickTrade/QuickTrade.lua,high
quicktrade2,QuickTrade 2,general_qol,1,14,1177,4.0,ValokAsura/WindowerAddons,https://github.com/ValokAsura/WindowerAddons,medium
quicktrade_2,Quicktrade 2,ui_gear,1,14,1177,3.78,ValokAsura/WindowerAddons,https://github.com/ValokAsura/WindowerAddons/blob/HEAD/README.md,medium
rcheck,Rcheck,general_qol,1,29,46,4.83,mousseng/xitools,https://github.com/mousseng/xitools/blob/HEAD/README.md,medium
react,React,automation,2,99,1263,2.66,Icydeath/ffxi-addons; ProjectTako/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/React/react.lua,high
readable,Readable,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/readable/readable.lua,high
readycheck,Readycheck,general_qol,2,22,3,4.83,Lydya-nick77/readycheck; iLVL-Key/FFXI,https://github.com/Lydya-nick77/readycheck/blob/HEAD/README.md,medium
redist,redist,general_qol,1,17,1073,4.0,ZeromusXYZ/PacketViewerLogViewer,https://github.com/ZeromusXYZ/PacketViewerLogViewer,medium
reive,Reive,general_qol,1,17,3528,3.43,mverteuil/windower4-addons,https://github.com/mverteuil/windower4-addons/blob/HEAD/reive/README.md,medium
relicge,Relicge,general_qol,1,29,46,4.83,mousseng/xitools,https://github.com/mousseng/xitools/blob/HEAD/README.md,medium
repeater,Repeater,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/Repeater/Repeater.lua,high
repl,Repl,general_qol,1,29,46,4.83,mousseng/xitools,https://github.com/mousseng/xitools/blob/HEAD/README.md,medium
res,res,general_qol,2,25,1073,4.0,ZeromusXYZ/PacketViewerLogViewer; sebyg666/GearInfo,https://github.com/sebyg666/GearInfo/blob/HEAD/res/DW_Gear.lua,high
rhombus,Rhombus,general_qol,1,17,3528,3.43,mverteuil/windower4-addons,https://github.com/mverteuil/windower4-addons/blob/HEAD/Rhombus/Rhombus.lua,high
roe,Roe,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/roe/roe.lua,high
rollbot,Rollbot,automation,1,18,3350,3.43,Lygre/addons,heuristic,low
rolldistance,Rolldistance,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/rolldistance/rolldistance.lua,high
rolltracker,Rolltracker,general_qol,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,https://github.com/Lygre/addons/blob/HEAD/rolltracker/rolltracker.lua,high
rtfm,Rtfm,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/rtfm/README.md,medium
runicportal,Runicportal,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/RunicPortal/RunicPortal.lua,high
safeoboro,Safeoboro,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/README.md,medium
salvage2,Salvage2,general_qol,1,17,3528,3.43,mverteuil/windower4-addons,https://github.com/mverteuil/windower4-addons/blob/HEAD/salvage2/salvage2.lua,high
satacast,Satacast,general_qol,1,17,3528,3.43,mverteuil/windower4-addons,https://github.com/mverteuil/windower4-addons/blob/HEAD/SATACast/SATACast.lua,high
scanzone,Scanzone,travel_navigation,1,99,1263,3.78,ProjectTako/ffxi-addons,https://github.com/ProjectTako/ffxi-addons/blob/HEAD/scanzone/ashita/scanzone.lua,high
scenthound,ScentHound,general_qol,1,3,43,3.5,ThornyFFXI/ScentHound,heuristic,low
schskillchain,Schskillchain,combat_automation,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/schskillchain/README.md,medium
scoreboard,Scoreboard,general_qol,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,https://github.com/Lygre/addons/blob/HEAD/scoreboard/damagedb.lua,high
scriptedextender,Scriptedextender,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
sellnpc,Sellnpc,economy_inventory,4,79,957,1.92,Icydeath/ffxi-addons; Ivaar/Windower-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/SellNPC/profiles.lua,high
send,Send,general_qol,2,69,1490,2.31,Icydeath/ffxi-addons; Lygre/addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/send/readme.md,medium
sendalltarget,Sendalltarget,combat_automation,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/SendAllTarget/SendAllTarget.lua,high
sendtarget,Sendtarget,combat_automation,3,69,797,2.66,DiscipleOfEris/SendTarget; DiscipleOfEris/Windower4Addons; Icydeath/ffxi-addons,https://github.com/DiscipleOfEris/Windower4Addons/blob/HEAD/SendTarget/SendTarget.lua,high
setbgm,Setbgm,general_qol,1,17,3528,3.43,mverteuil/windower4-addons,heuristic,low
settarget,Settarget,combat_automation,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
shortcuts,Shortcuts,general_qol,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/shortcuts/helper_functions.lua,high
silence,Silence,general_qol,2,69,1490,2.31,Icydeath/ffxi-addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/Silence/readme.md,medium
silttracker,Silttracker,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/silttracker/silttracker.lua,high
simpleassist,Simpleassist,automation,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
singer,Singer,general_qol,2,79,957,2.66,Icydeath/ffxi-addons; Ivaar/Windower-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/Singer/sing_cast.lua,high
sirpopalot,Sirpopalot,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
skillchain,Skillchain,combat_automation,3,29,46,3.26,Lygre/addons; mousseng/xitools; mverteuil/windower4-addons,https://github.com/mousseng/xitools/blob/HEAD/addons/skillchain/packet-dedupe.lua,high
skillchains,Skillchains,combat_automation,4,69,714,2.27,Icydeath/ffxi-addons; Ivaar/Skillchains; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/Skillchains/README.md,medium
skilluptracker,Skilluptracker,general_qol,1,18,3350,3.43,Lygre/addons,https://github.com/Lygre/addons/blob/HEAD/skilluptracker/skilluptracker.lua,high
smarttarget,Smarttarget,combat_automation,2,69,1,3.43,Icydeath/ffxi-addons; Phayde/Windower-addons,https://github.com/Phayde/Windower-addons/blob/HEAD/smarttarget/smarttarget.lua,high
smeagol,Smeagol,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/README.md,medium
sounds,Sounds,general_qol,1,0,82,4.0,murrain/ctimers,https://github.com/murrain/ctimers,low
sparks,Sparks,general_qol,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Lygre/addons/blob/HEAD/Sparks/Sparks.lua,high
special,Special,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/README.md,medium
speedchecker,Speedchecker,general_qol,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,heuristic,low
spellcheck,Spellcheck,general_qol,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,https://github.com/Lygre/addons/blob/HEAD/SpellCheck/SpellCheck.lua,high
spellspammer,Spellspammer,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
sprint,Sprint,general_qol,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,heuristic,low
stars,Stars,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/Stars/stars.lua,high
stats,Stats,diagnostics,1,1,80,4.0,garyfromwork/Stats,https://github.com/garyfromwork/Stats/blob/HEAD/README.md,medium
statsearch,Statsearch,general_qol,2,69,51,3.71,Icydeath/ffxi-addons; lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/statsearch/README.md,medium
stna,Stna,general_qol,1,18,3350,3.43,Lygre/addons,https://github.com/Lygre/addons/blob/HEAD/stna/stna.lua,high
stopwatch,Stopwatch,general_qol,1,18,3350,3.43,Lygre/addons,https://github.com/Lygre/addons/blob/HEAD/stopwatch/readme.md,medium
strathelper,Strathelper,automation,1,17,3528,3.43,mverteuil/windower4-addons,https://github.com/mverteuil/windower4-addons/blob/HEAD/StratHelper/StratHelper.lua,high
strats,Strats,general_qol,1,29,46,4.83,mousseng/xitools,https://github.com/mousseng/xitools/blob/HEAD/README.md,medium
subtarget,Subtarget,combat_automation,2,69,1490,2.31,Icydeath/ffxi-addons; Lygre/addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/SubTarget/SubTarget.lua,high
superwarp,Superwarp,travel_navigation,2,69,38,3.71,AkadenTK/superwarp; Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/superwarp/fuzzyfind.lua,high
sweeper,Sweeper,general_qol,1,22,3,4.83,iLVL-Key/FFXI,https://github.com/iLVL-Key/FFXI/blob/HEAD/addons/Sweeper/readme.md,high
synergy,Synergy,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/Synergy/Helper_functions.lua,high
synthall,Synthall,general_qol,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,https://github.com/Lygre/addons/blob/HEAD/Synthall/synthall.lua,high
taps,Taps,general_qol,1,17,3528,3.43,mverteuil/windower4-addons,https://github.com/mverteuil/windower4-addons/blob/HEAD/taps/taps.lua,high
targeter,Targeter,combat_automation,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/targeter/README.md,medium
targetinfo,Targetinfo,combat_automation,1,17,3528,3.43,mverteuil/windower4-addons,https://github.com/mverteuil/windower4-addons/blob/HEAD/targetinfo/readme.md,medium
targetinfoex,Targetinfoex,combat_automation,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/targetinfoEx/readme.md,medium
targetplus,Targetplus,combat_automation,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/TargetPlus/TargetPlus.lua,high
taskbar,Taskbar,ui_gear,1,22,3,4.83,iLVL-Key/FFXI,https://github.com/iLVL-Key/FFXI/blob/HEAD/addons/TaskBar/readme.md,high
tellapart,Tellapart,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/README.md,medium
tellfix,Tellfix,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/tellfix/README.md,medium
text,Text,general_qol,1,18,3350,3.43,Lygre/addons,heuristic,low
textures,textures,general_qol,1,25,2030,4.0,sebyg666/GearInfo,https://github.com/sebyg666/GearInfo,medium
themes,themes,general_qol,4,18,1141,4.0,Akirane/XIVHotbar; AliekberFFXI/xivcrossbar; Icydeath/ffxi-xivpetbar-addon; Technyze/XIVHotbar2,https://github.com/Icydeath/ffxi-xivpetbar-addon/blob/HEAD/README.md,medium
thfknife,Thfknife,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/ThfKnife/ThfKnife.lua,high
thtracker,Thtracker,general_qol,2,69,1490,2.31,Icydeath/ffxi-addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/thtracker/thtracker.lua,high
timestamp,Timestamp,general_qol,2,69,1490,2.31,Icydeath/ffxi-addons; Lygre/addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/timestamp/timestamp.lua,high
tiptoes,Tiptoes,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/README.md,medium
tonic,Tonic,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/tonic/buffup.lua,high
tourist,Tourist,travel_navigation,1,3,41,4.83,Bryenne-Sylph/tourist,https://github.com/Bryenne-Sylph/tourist,medium
tparty,Tparty,ui_gear,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/TParty/TParty.lua,high
tpsreport,Tpsreport,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/README.md,medium
trade,Trade,economy_inventory,3,79,957,2.21,Icydeath/ffxi-addons; Ivaar/Windower-addons; Lygre/addons,https://github.com/Ivaar/Windower-addons/blob/HEAD/Trade/README.md,medium
tradenpc,Tradenpc,economy_inventory,2,79,957,2.66,Icydeath/ffxi-addons; Ivaar/Windower-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/TradeNPC/TradeNPC.lua,high
trader,Trader,economy_inventory,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/Trader/abjuration_info.lua,high
translate,Translate,general_qol,1,18,3350,3.43,Lygre/addons,https://github.com/Lygre/addons/blob/HEAD/translate/dicts/bgthread_guide.lua,high
trashit,Trashit,general_qol,1,1,1,4.2,Phayde/Windower-addons,https://github.com/Phayde/Windower-addons/blob/HEAD/README.md,medium
treasurepool,Treasurepool,general_qol,2,69,1490,2.31,Icydeath/ffxi-addons; Lygre/addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/TreasurePool/TreasurePool.lua,high
treasury,Treasury,general_qol,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/Treasury/Treasury.lua,high
trials,Trials,general_qol,1,29,46,4.83,mousseng/xitools,https://github.com/mousseng/xitools/blob/HEAD/README.md,medium
trialtracker,Trialtracker,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/README.md,medium
triggers,Triggers,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/triggers/triggers.lua,high
truesight,Truesight,general_qol,1,17,3528,3.43,mverteuil/windower4-addons,heuristic,low
trust,Trust,automation,1,49,1,4.83,cyritegamestudios/trust,https://github.com/cyritegamestudios/trust/blob/HEAD/README.md,medium
turnaround,Turnaround,automation,1,99,1263,3.78,ProjectTako/ffxi-addons,https://github.com/ProjectTako/ffxi-addons/blob/HEAD/turnaround/ashita/turnaround.lua,high
ui,Ui,ui_gear,1,17,1318,3.78,AliekberFFXI/xivcrossbar,https://github.com/AliekberFFXI/xivcrossbar/blob/HEAD/README.md,medium
update,Update,general_qol,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,https://github.com/Lygre/addons/blob/HEAD/update/readme.md,medium
useall,Useall,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/README.md,medium
valkyrie,Valkyrie,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/Valkyrie/util/packets.lua,high
vanaclock,Vanaclock,general_qol,1,3,27,4.2,BagTown/vanaclock,https://github.com/BagTown/vanaclock/blob/HEAD/README.md,medium
vanafacts,Vanafacts,general_qol,1,22,3,4.83,iLVL-Key/FFXI,https://github.com/iLVL-Key/FFXI/blob/HEAD/addons/VanaFacts/readme.md,high
vanapad,Vanapad,general_qol,1,22,3,4.83,iLVL-Key/FFXI,https://github.com/iLVL-Key/FFXI/blob/HEAD/addons/VanaPad/readme.md,high
vanatime,Vanatime,general_qol,1,3,27,4.2,BagTown/vanaclock,https://github.com/BagTown/vanaclock/blob/HEAD/README.md,medium
vanity,Vanity,general_qol,1,22,3,4.83,iLVL-Key/FFXI,https://github.com/iLVL-Key/FFXI/blob/HEAD/addons/Vanity/readme.md,high
visiblefavor,Visiblefavor,general_qol,1,17,3528,3.43,mverteuil/windower4-addons,heuristic,low
voidwalker,Voidwalker,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
voidwatch,Voidwatch,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/voidwatch/voidwatch.lua,high
vwpop,Vwpop,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/VWPop/vwpop.lua,high
warpmenu,Warpmenu,travel_navigation,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/WarpMenu/README.md,medium
waveback,Waveback,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/README.md,medium
weathermon,Weathermon,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/README.md,medium
weeklier,Weeklier,general_qol,1,0,7,4.2,patheed-ffxi/weeklier,https://github.com/patheed-ffxi/weeklier/blob/HEAD/README.md,medium
wheel,Wheel,general_qol,1,29,46,4.83,mousseng/xitools,https://github.com/mousseng/xitools/blob/HEAD/README.md,medium
where,Where,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/where/regionZones.lua,high
widescan,Widescan,general_qol,1,1,1015,4.0,Darkdoom22/Widescan,https://github.com/Darkdoom22/Widescan/blob/HEAD/README.md,medium
widescantool,Widescantool,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/widescantool/widescantool.lua,high
wiki,Wiki,general_qol,2,0,80,4.0,garyfromwork/AutoJob; garyfromwork/mp3,https://github.com/garyfromwork/AutoJob,low
witnessprotection,Witnessprotection,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/witnessprotection/README.md,medium
wlibs,Wlibs,utility,1,11,137,8.15,onimitch/ffxi-balloon-ashitav4,https://github.com/onimitch/ffxi-balloon-ashitav4/blob/HEAD/wlibs/config.lua,high
